reading_id,SUBSAMPLE_ID,STEM_ID,GENPRINT,PConcentration,P_Error1s
2019-08-29-020,ST50GEN0109HV,ST50PKT0WD9K,177,3545,132
2019-08-29-021,ST50GEN0108Q8,ST50PKT0WCYB,408,3318,128
2019-08-29-022,ST50GEN0108ZD,ST50PKT0WD31,1532,3363,129
2019-08-29-023,ST50GEN0109TL,ST50PKT0WDNM,531,3259,127
2019-08-29-024,ST50GEN010796,ST50PKT0WC0D,437,2669,117
2019-08-29-025,ST50GEN0108GX,ST50PKT0WCT0,166,3675,132
2019-08-29-026,ST50GEN01078R,ST50PKT0WC03,M76-79,1329,98
2019-08-29-027,ST50GEN0108J8,ST50PKT0WCRJ,1325,2915,122
2019-08-29-028,ST50GEN0107RJ,ST50PKT0WCCY,1217,4194,139
2019-08-29-029,ST50GEN01077L,ST50PKT0WC49,1301,3544,131
2019-08-29-030,ST50GEN01079Q,ST50PKT0WC0Q,1051,3132,123
2019-08-29-031,ST50GEN01077Z,ST50PKT0WC4H,M76-79,2046,110
2019-08-29-032,ST50GEN01088Q,ST50PKT0WCLV,1194,3225,126
2019-08-29-033,ST50GEN010781,ST50PKT0WC4J,737,3884,133
2019-08-29-034,ST50GEN0108G8,ST50PKT0WCSM,724,2778,121
