SCANNING_CODE,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,La Concentration,Ce Concentration,Pr Concentration,Nd Concentration,Ta Concentration,W Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,P Error1s,S Error1s,K Error1s,Ca Error1s,Ti Error1s,V Error1s,Cr Error1s,Mn Error1s,Fe Error1s,Co Error1s,Ni Error1s,Cu Error1s,Zn Error1s,As Error1s,Se Error1s,Rb Error1s,Sr Error1s,Y Error1s,Zr Error1s,Nb Error1s,Mo Error1s,Ag Error1s,Cd Error1s,Sn Error1s,Sb Error1s,Ba Error1s,La Error1s,Ce Error1s,Pr Error1s,Nd Error1s,Ta Error1s,W Error1s,Hg Error1s,Pb Error1s,Bi Error1s,Th Error1s,U Error1s
Aug 22-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aug 29-19,3034,839,4298,227,2,-3,-14,37,21,-14,-13,-4,14,-1,-2,8,5,-1,0,0,0,-3,-2,-23,-5,8,-21,21,-120,121,-7,-12,-5,-2,-17,-3,-2,123,23,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,91,6,1,0,0,1,1,1
Aug 29-20,3545,911,4502,357,4,-2,-14,64,32,-14,-12,-6,24,-1,-2,22,6,-3,-1,0,-1,-4,-1,-24,-4,16,7,11,-64,38,-11,-12,-5,-2,-18,-3,0,132,24,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,90,5,1,0,0,1,1,2
Aug 29-21,3318,678,5076,329,4,-3,-15,43,16,-15,-12,-5,22,-1,-2,6,3,0,-1,0,0,-1,1,-26,-6,8,-16,50,-14,43,-9,-13,-4,-2,-17,-1,-4,128,21,21,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,1
Aug 29-22,3363,873,4634,275,2,-3,-13,28,35,-14,-12,-3,14,-1,-3,12,4,0,0,-1,0,-2,-2,-28,-3,21,-1,5,-76,74,-5,-13,-4,-2,-18,-3,2,129,23,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,2
Aug 29-23,3259,1102,4709,298,2,-3,-13,50,31,-14,-11,-4,19,-1,-2,8,5,-1,-1,-1,0,-1,-2,-24,2,14,-8,47,-38,183,-2,-12,-6,-2,-17,0,-2,127,25,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,89,6,1,0,0,1,1,1
Aug 29-24,2669,821,3925,176,1,-3,-13,24,15,-14,-13,-4,9,-1,-2,5,2,0,0,0,-3,-1,0,-34,-9,3,-15,0,-25,60,-9,-13,-5,-2,-20,-3,-3,117,23,18,4,1,0,0,1,2,1,1,0,0,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,1
Aug 29-25,3675,796,5163,310,3,-3,-15,34,23,-15,-11,1,18,-1,-2,7,3,0,0,0,-1,-4,-2,-31,-11,21,-13,-18,-80,-58,-11,-12,-5,-2,-18,-3,0,132,23,21,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,1
Aug 29-26,1329,812,3735,461,3,-2,-14,20,28,-14,-11,3,20,-1,-2,5,6,0,0,0,-1,-2,-2,-25,-6,13,-32,16,-97,92,0,-12,-4,-2,-19,-5,-1,98,23,18,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,1
Aug 29-27,2915,881,3782,358,1,-3,-14,26,27,-13,-12,0,27,-1,-2,6,4,-1,0,-1,0,-3,-3,-26,-3,25,-20,-31,-34,84,-17,-11,-5,-2,-18,-3,0,122,23,18,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,42,91,5,1,0,0,1,1,2
Aug 29-28,4194,681,5084,251,3,-3,-14,34,20,-14,-11,0,17,-1,-2,9,4,-1,-1,1,0,-1,-2,-27,-4,13,-27,-15,-14,3,-9,-13,-3,-2,-16,-2,-3,139,21,21,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,1
Aug 29-29,3544,915,4664,263,0,-3,-13,28,30,-15,-10,-3,15,-1,-2,6,5,-1,0,0,-2,-3,-1,-29,1,11,-7,-12,-74,-81,-9,-12,-4,-2,-19,-3,0,131,24,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,1
Aug 29-30,3132,907,4299,171,4,-3,-14,24,20,-13,-12,-2,16,-1,-2,3,5,-1,-1,0,-2,-2,-2,-24,-5,25,7,3,-54,80,1,-13,-4,-2,-17,-3,-3,123,23,19,4,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,41,89,6,1,0,0,1,1,1
Aug 29-31,2046,775,3816,444,2,-2,-14,30,34,-15,-12,2,14,-1,-2,7,6,0,0,-1,-1,-3,-1,-27,-7,14,-13,23,31,-5,-12,-12,-4,-2,-18,-1,-2,110,23,18,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,1
Aug 29-32,3225,816,4389,245,1,-3,-14,23,17,-14,-11,-1,12,-1,-2,5,2,0,-1,0,0,0,0,-28,-5,21,-12,41,-103,-61,-3,-11,-5,-2,-20,-1,-2,126,23,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,1
Aug 29-33,3884,930,4215,275,1,-3,-14,39,20,-13,-12,-1,17,-1,-2,8,2,-2,-1,0,-1,-3,-1,-27,-4,28,8,19,-44,169,-11,-12,-4,-2,-17,-2,0,133,24,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,32,41,88,5,1,0,0,1,1,1
Aug 29-34,2778,908,4689,355,3,-3,-13,37,16,-14,-12,-1,29,-1,-2,9,8,-1,0,0,0,0,-1,-27,-3,38,11,54,-67,-95,-6,-13,-4,-1,-18,-3,-1,121,24,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,41,89,6,1,0,0,1,1,1
Aug 29-35,2777,813,4611,274,2,-2,-15,32,26,-14,-11,-2,16,-1,-2,5,2,0,0,-1,-3,-4,-2,-25,-8,6,-12,-1,-87,31,0,-12,-4,-2,-17,-4,2,120,23,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,89,6,1,0,0,1,1,2
Aug 29-36,3756,1066,4021,354,3,-2,-13,53,51,-15,-12,-4,27,-1,-2,11,4,-1,-1,0,-1,-1,-2,-23,0,3,-29,16,-21,105,-14,-13,-5,-1,-21,-2,0,134,25,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,42,91,5,1,0,0,1,1,2
Aug 29-37,2525,808,3070,305,2,-3,-14,22,8,-14,-11,-2,18,-1,-2,3,6,-2,1,-1,0,-4,-3,-29,-7,23,16,-25,-83,73,-13,-12,-5,-2,-18,-4,1,114,22,16,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,1
Aug 29-38,2142,901,3946,278,1,-3,-13,35,23,-14,-11,-3,22,-1,-2,7,6,-1,-1,0,-2,-1,-4,-27,-5,13,-16,-44,-130,-43,-8,-12,-4,-1,-20,-4,1,110,24,18,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,2
Aug 29-39,3590,855,4684,263,0,-3,-14,35,23,-14,-10,-1,15,-1,-2,4,1,-1,1,0,0,-1,-2,-25,-4,13,-22,48,-44,88,-5,-13,-4,-3,-15,-3,0,131,23,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 29-40,3815,778,4565,342,2,-2,-15,27,35,-14,-11,0,17,-1,-2,7,3,-1,0,0,0,-1,-2,-30,-3,14,-22,-3,-29,26,3,-12,-5,-2,-17,-4,1,135,23,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,89,6,1,0,0,1,1,1
Aug 29-41,2035,870,3994,268,7,-2,-14,43,15,-14,-11,-3,16,-1,-2,7,5,-1,0,-1,-1,0,1,-26,-7,20,31,84,-11,197,-12,-12,-4,-2,-18,-3,0,107,23,18,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,5,1,0,0,1,1,1
Aug 29-42,3199,868,4622,309,1,-3,-15,26,26,-14,-11,-1,18,-1,-2,5,1,0,-1,-1,0,0,2,-24,-9,10,-6,33,-54,67,-7,-12,-4,-2,-19,-1,0,126,23,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 29-43,2900,799,3956,299,4,-2,-14,21,15,-15,-11,-3,17,-1,-2,8,2,-1,0,0,0,0,1,-21,-2,0,-33,-91,-56,35,-14,-12,-4,-1,-18,-3,0,121,22,18,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,41,89,5,1,0,0,1,1,1
Aug 29-44,4562,976,5539,324,2,-3,-13,80,43,-14,-11,-6,27,-1,-2,10,6,0,1,-1,-1,1,-2,-26,-5,23,-36,-4,11,86,-7,-11,-4,-2,-16,-4,-1,145,25,22,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 29-45,2343,732,3890,226,2,-3,-15,23,17,-12,-12,-1,20,-1,-2,4,6,0,0,0,-2,-1,-2,-23,-5,24,-18,-34,-39,303,-6,-13,-4,-2,-18,-3,0,113,22,18,4,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 29-46,2870,700,4299,237,3,-3,-13,18,19,-13,-12,-2,11,-1,-2,5,3,0,-1,0,1,-2,0,-24,-1,12,-41,-28,-4,-29,-12,-13,-5,-2,-18,-4,-2,120,21,19,5,1,0,0,1,2,1,1,1,0,0,0,0,1,1,1,0,1,1,2,3,3,8,16,32,41,88,5,1,0,0,1,1,1
Aug 29-47,3060,642,4563,312,2,-3,-15,23,19,-13,-12,-1,9,-1,-2,6,4,-1,-1,-1,0,-1,-1,-31,-6,14,-11,-13,-128,-65,-3,-12,-4,-2,-20,-2,-1,123,21,20,5,1,0,0,1,2,1,1,1,0,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,89,6,1,0,0,1,1,1
Aug 29-48,2257,672,3536,317,5,-2,-14,28,11,-14,-12,-3,16,-1,-2,4,4,-1,0,-1,-1,-2,2,-22,-9,22,19,25,-64,15,-11,-12,-5,-3,-18,-5,1,110,21,17,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,1
Aug 29-49,4319,603,5309,373,8,-2,-14,34,22,-14,-13,-4,13,-1,-3,4,4,-1,-1,-1,-2,-1,2,-25,-4,13,-12,15,-22,236,-16,-11,-5,-2,-18,-3,1,142,21,22,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,2
Aug 29-50,1254,1364,26798,24116,3028,87,62,673,27963,-54,32,132,418,113,1,121,226,28,262,15,7,5,54,9,25,519,31,84,-432,-51,21,8,10,1408,2,14,0,468,76,126,102,17,2,2,5,104,17,2,3,4,5,1,1,5,3,5,1,2,2,2,4,4,13,23,48,62,138,11,3,2,7,2,3,3
Aug 29-51,3746,665,4893,249,1,-3,-14,24,17,-12,-12,-4,15,-1,-2,4,3,-1,-1,-1,1,-1,-2,-27,0,18,-16,57,-39,-97,-7,-13,-4,-2,-20,-3,0,133,21,21,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 29-52,3521,918,4145,194,1,-3,-13,35,32,-13,-11,-1,16,-1,-2,6,4,-1,0,-1,-1,0,2,-22,-2,28,12,0,-43,5,-10,-11,-5,-2,-16,-3,0,131,24,19,4,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,1
Aug 29-53,3180,852,4215,233,1,-3,-14,24,31,-15,-12,0,18,-1,-1,6,3,-1,0,-1,-1,0,0,-30,-5,20,-19,70,-77,-81,3,-12,-5,-2,-16,-3,0,124,23,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,89,6,1,0,0,1,1,1
Aug 29-54,3188,933,4252,258,3,-3,-14,32,22,-14,-11,-2,24,-1,-2,4,2,0,0,-1,-1,0,1,-24,1,31,0,9,-69,62,-10,-13,-4,-3,-18,-3,2,126,24,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,91,6,1,0,0,1,1,2
Aug 29-55,4076,736,4893,313,3,-3,-14,49,32,-13,-12,-5,18,-2,-2,9,6,-2,0,0,-1,-3,-4,-29,-7,27,-16,1,-27,5,-16,-12,-4,-1,-18,-3,0,138,22,21,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,5,1,0,0,1,1,1
Aug 29-56,2720,776,3828,219,2,-3,-14,28,19,-15,-13,-2,11,-1,-2,8,3,0,-1,-1,-1,0,0,-21,0,5,-36,30,-15,27,-2,-12,-5,-2,-18,-4,0,119,22,18,4,1,0,0,1,2,1,1,1,0,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,42,91,6,1,0,0,1,1,1
Aug 29-57,3310,735,4793,352,2,-3,-14,38,24,-14,-12,-3,21,-1,-2,4,3,0,0,0,1,-2,-1,-24,-5,10,-2,-9,-50,23,-13,-12,-5,-2,-18,0,-4,128,22,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,5,1,0,0,1,1,1
Aug 29-58,3843,1061,5518,362,1,-3,-14,45,26,-14,-10,-1,41,-1,-2,8,2,0,-1,0,-4,-1,1,-25,-5,11,-30,17,-53,-53,-2,-12,-5,-2,-19,-2,1,136,25,22,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,2
Aug 29-59,2972,901,4269,342,4,-2,-14,28,23,-14,-12,0,21,-1,-2,6,5,0,0,0,0,0,0,-27,-3,6,-34,-48,-56,105,2,-13,-4,-2,-19,-5,1,122,23,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 29-60,2266,941,3819,302,2,-3,-14,49,19,-14,-12,-3,22,-1,-2,8,4,-2,-1,0,-3,0,-3,-24,-2,12,5,21,-70,-44,-11,-12,-5,-2,-18,-3,-2,110,23,18,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,1
Aug 29-61,2590,844,4224,364,2,-3,-15,27,31,-14,-11,5,19,-1,-2,5,4,-1,-1,0,0,1,-2,-24,-3,23,-33,-45,-62,-39,-15,-13,-5,-2,-20,-3,-1,120,23,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,94,6,1,0,0,1,1,1
Aug 29-62,2671,773,4260,259,1,-2,-13,32,21,-12,-11,-6,11,-1,-2,6,6,-1,0,-1,-3,-2,0,-28,-4,15,-3,-6,12,56,-6,-12,-4,-2,-19,-4,0,117,22,19,5,1,0,0,1,2,1,1,0,0,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 29-63,2343,693,3624,219,4,-2,-15,8,24,-13,-13,-1,18,-1,-2,4,1,0,-1,-1,0,-2,-3,-26,-4,9,-24,13,-14,-110,-9,-12,-5,-2,-18,-2,0,111,21,17,4,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,1,3,3,7,16,32,41,88,5,1,0,0,1,1,1
Aug 29-64,3184,670,4599,187,-1,-3,-14,27,25,-13,-12,-2,14,-1,-2,3,3,0,0,-1,1,-2,0,-23,-3,29,13,24,-39,96,-3,-12,-5,-2,-16,-2,-3,125,21,20,5,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 29-65,4400,837,5173,299,1,-3,-13,52,24,-16,-11,0,26,-1,-2,8,4,-1,0,0,0,0,0,-28,-2,7,-33,-87,-11,128,-4,-12,-5,-1,-17,-4,-1,142,23,21,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 29-66,3208,722,3972,249,0,-3,-13,24,22,-14,-12,-2,13,-1,-2,6,2,-1,-1,0,-1,-3,-2,-29,-7,26,-16,-7,-83,105,-3,-12,-5,-2,-17,-3,-3,125,22,18,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 29-67,2163,623,3372,173,3,-3,-15,11,7,-13,-11,-2,16,-1,-2,3,2,0,0,-1,0,0,0,-30,-6,20,10,9,-23,11,-5,-13,-5,-2,-17,-1,-1,108,20,17,4,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,41,89,6,1,0,0,1,1,1
Aug 29-68,2996,884,4401,328,2,-3,-14,43,27,-14,-12,-3,18,-1,-2,5,4,0,0,0,0,0,-3,-29,-6,3,-3,11,-45,-8,-5,-12,-4,-2,-18,-3,-2,123,23,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 29-69,4440,816,4665,157,2,-3,-15,39,28,-14,-12,-3,13,-1,-2,4,4,0,-1,0,1,1,-2,-26,-5,9,-20,12,-29,72,-8,-14,-4,-2,-16,-2,-1,141,23,20,4,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,89,5,1,0,0,1,1,1
Aug 29-70,2629,755,4535,269,2,-3,-14,45,24,-13,-12,-6,15,-1,-2,10,4,-2,-1,0,-2,-3,-1,-24,-3,5,-14,21,-19,110,-5,-12,-5,-2,-17,-4,-2,120,23,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,1
Aug 29-71,3907,1016,5131,372,3,-3,-15,37,29,-14,-12,-2,23,-1,-2,9,3,1,1,0,1,-2,-2,-24,0,10,-18,-64,-129,16,-11,-13,-5,-2,-15,-5,-3,137,25,21,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,5,1,0,0,1,1,1
Aug 29-72,2325,960,3371,269,2,-2,-13,45,19,-13,-11,-3,24,-2,-3,9,5,-1,0,0,-1,-1,-2,-29,-6,19,-10,-33,-75,33,-3,-12,-5,-1,-19,-4,-2,113,24,17,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,42,92,6,1,0,0,1,1,1
Aug 29-73,3889,721,4738,230,2,-2,-14,26,20,-14,-12,-4,13,-1,-2,5,3,0,-1,-1,-1,-2,0,-27,-7,8,-33,-48,-10,-102,-2,-12,-4,-2,-16,-3,0,135,22,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,32,41,89,6,1,0,0,1,1,1
Aug 29-74,2826,1084,3539,268,1,-3,-14,29,35,-14,-12,0,17,-1,-1,5,4,0,-1,-1,-2,1,0,-29,-4,7,-18,21,-52,-46,-4,-12,-5,-2,-17,-4,-1,120,25,17,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,91,6,1,0,0,1,1,1
Aug 29-75,6948,1000,6858,324,3,-2,-14,51,40,-13,-12,-5,30,-1,-2,8,4,-1,-1,0,-1,-1,-1,-24,-7,15,-4,36,-61,33,-5,-12,-5,-2,-15,-4,0,174,25,26,6,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,2
Aug 29-76,2533,916,3709,354,3,-3,-15,57,23,-15,-12,-2,25,-1,-2,5,4,-1,0,0,0,0,0,-24,-1,29,-30,-70,-15,69,-19,-12,-5,-2,-18,-4,-1,117,24,18,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,5,1,0,0,1,1,1
Aug 29-77,3934,723,5134,306,0,-3,-14,29,18,-15,-12,-3,15,-1,-2,6,2,1,0,0,1,-2,3,-29,-5,16,-6,44,-97,41,-9,-11,-5,-2,-17,-5,-3,138,22,22,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,1
Aug 29-78,4442,660,4307,238,2,-3,-14,39,18,-15,-12,-3,18,-1,-2,3,3,0,-1,-1,-2,0,-1,-20,-6,23,-7,-10,-52,143,-11,-13,-4,-2,-18,-3,0,143,21,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,1
Aug 29-79,3911,787,4611,343,3,-2,-14,78,39,-14,-12,-6,19,-1,-2,13,5,0,0,0,-1,-1,-2,-28,-1,10,-9,17,-123,109,-20,-12,-4,-1,-17,-5,0,135,22,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,32,41,89,5,1,0,0,1,1,1
Aug 29-80,3432,743,4094,335,6,-2,-13,41,19,-12,-13,-3,23,-1,-2,2,4,-1,-2,0,-1,2,1,-29,-6,16,-26,8,-47,181,4,-12,-5,-3,-16,-1,-2,128,22,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,89,6,1,0,0,1,1,1
Aug 29-81,1801,831,4501,599,2,-2,-14,25,26,-14,-13,4,20,-1,-2,19,12,-1,-1,-1,-1,-2,0,-24,2,19,-24,-38,-82,-137,-6,-12,-5,-1,-19,-3,1,107,23,20,6,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,2
Aug 29-82,892,1263,26638,24246,3021,88,58,681,28651,-62,31,136,421,119,1,123,228,30,266,19,8,5,51,7,27,495,-2,125,-372,-394,44,9,10,1434,-2,12,5,466,76,126,103,17,2,2,5,107,18,2,3,4,5,1,1,5,3,5,1,2,2,2,4,4,13,23,48,63,139,12,3,2,7,2,3,3
Sep 9-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sep 9-2,0,-14,5,-11,3,1,2,2,5,1,-1,0,-1,0,0,0,0,0,0,0,-3,0,0,3,4,4,-29,-5,12,302,-11,-1,0,0,1,-3,4,114,21,9,3,1,0,1,1,3,2,1,1,1,0,0,0,1,1,1,1,1,1,1,3,3,8,19,39,51,111,6,1,1,1,1,2,2
Sep 9-3,1472,1403,26664,24091,3021,88,60,679,27800,-31,28,133,407,115,2,122,229,27,264,17,4,6,50,9,24,524,14,173,-383,-347,8,14,10,1405,-1,16,5,475,77,126,102,17,2,2,5,103,17,2,3,4,5,1,1,5,3,5,1,2,2,2,4,4,13,23,48,63,140,11,3,2,7,2,3,3
Sep 9-4,3783,806,5164,339,2,-3,-14,40,24,-14,-12,-3,19,-1,-2,6,3,-1,2,-1,-3,-3,1,-33,-5,7,-37,-4,-5,13,-7,-12,-5,-2,-18,-6,-2,137,23,22,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Sep 9-5,3453,911,4796,338,5,-3,-14,54,23,-14,-12,0,31,-1,-2,6,2,-1,-1,-1,0,-1,0,-24,-2,34,-3,-37,-14,224,-20,-13,-5,-2,-18,-2,0,130,24,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,89,5,1,0,0,1,1,1
Sep 9-6,2278,1047,3757,408,2,-3,-13,41,46,-15,-12,3,28,-1,-2,7,9,0,0,-1,-2,0,2,-26,-6,23,-1,45,-76,200,-17,-11,-5,-2,-20,-4,2,114,25,18,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,94,5,1,0,0,1,1,2
Sep 9-7,3807,906,5946,302,0,-3,-15,58,37,-13,-13,-6,19,-1,-2,11,5,-1,-2,-1,-3,0,-1,-22,-5,14,-29,27,-4,2,-11,-12,-5,-1,-19,1,0,136,24,23,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,1
Sep 9-8,3347,958,4450,296,2,-3,-14,38,26,-15,-11,-2,25,-1,-2,5,4,-1,-1,0,-2,-1,-4,-22,-7,14,-28,3,-61,7,-7,-13,-5,-2,-17,-3,1,128,24,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Sep 9-9,3128,837,4666,390,3,-2,-14,30,23,-15,-11,-1,21,-1,-2,8,7,0,0,0,-1,1,-2,-24,-1,28,-27,34,-40,91,-14,-13,-5,-2,-17,-4,-2,126,23,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,5,1,0,0,1,1,1
