STEM_ID,SITE,YEAR,RUN,RANGE,PAP,BLOCK,RUNPAIR,SET,GENOTYPE,TRIAL,GEN,yield,biomass,sample_weight,grain_g,harvest_index
ST50PKT0WCQX,York,2018,62,10,30 kg P,1,31,BT 4-Way MAGIC,CAV4081255,York_2018,CAV4081255,3.411184211,NA,180.44,60.5,0.33529151
ST50PKT0WCQW,York,2018,62,11,30 kg P,1,31,BT 4-Way MAGIC,CAV4081528,York_2018,CAV4081528,3.084082157,14.96,175.04,38.2,0.218235832
ST50PKT0WCQV,York,2018,62,12,30 kg P,1,31,BT 4-Way MAGIC,CAV4080532,York_2018,CAV4080532,4.519736842,13.36,395.3,140.9,0.356438148
ST50PKT0WCT1,York,2018,65,2,30 kg P,1,33,BT 4-Way MAGIC,CAV4081175,York_2018,CAV4081175,4.67611336,14.34,223.61,76.1,0.340324672
ST50PKT0WCT0,York,2018,65,3,30 kg P,1,33,BT 4-Way MAGIC,CAV4080166,York_2018,CAV4080166,5.41720154,15.88,236.23,89.6,0.379291369
ST50PKT0WCSZ,York,2018,65,4,30 kg P,1,33,BT 4-Way MAGIC,CAV4080427,York_2018,CAV4080427,4.841430499,14.41,231.4,90.6,0.391529818
ST50PKT0WCSY,York,2018,65,5,30 kg P,1,33,BT 4-Way MAGIC,CAV4080496,York_2018,CAV4080496,4.226190476,13.45,253.06,92.1,0.363945309
ST50PKT0WCSX,York,2018,65,6,30 kg P,1,33,BT 4-Way MAGIC,CAV4081262,York_2018,CAV4081262,4.318035944,16.4,226.54,75.6,0.3337159
ST50PKT0WCSW,York,2018,65,7,30 kg P,1,33,BT 4-Way MAGIC,CAV4081646,York_2018,CAV4081646,4.476893453,11.85,233.44,78.9,0.337988348
ST50PKT0WCSV,York,2018,65,8,30 kg P,1,33,BT 4-Way MAGIC,CAV4080434,York_2018,CAV4080434,3.147506925,13.53,162.19,40.9,0.252173377
ST50PKT0WCST,York,2018,65,9,30 kg P,1,33,BT 4-Way MAGIC,CAV4081201,York_2018,CAV4081201,3.549422336,13.12,158.46,51.1,0.322478859
ST50PKT0WCSS,York,2018,65,10,30 kg P,1,33,BT 4-Way MAGIC,CAV4081217,York_2018,CAV4081217,3.264802632,11.58,225.66,80.5,0.356731366
ST50PKT0WCSR,York,2018,65,11,30 kg P,1,33,BT 4-Way MAGIC,CAV4081260,York_2018,CAV4081260,3.867137356,10.77,182.57,66.8,0.365887057
ST50PKT0WCSQ,York,2018,65,12,30 kg P,1,33,BT 4-Way MAGIC,CAV4080464,York_2018,CAV4080464,3.547697368,12.56,252.97,83.4,0.329683362
ST50PKT0WCSM,York,2018,66,1,0 kg P,1,33,BT 4-Way MAGIC,CAV4080724,York_2018,CAV4080724,4.628289474,7.5,281.55,130.4,0.463150417
ST50PKT0WCSL,York,2018,66,2,0 kg P,1,33,BT 4-Way MAGIC,CAV4081175,York_2018,CAV4081175,4.267881242,12.69,246.09,88.3,0.358811817
ST50PKT0WCSK,York,2018,66,3,0 kg P,1,33,BT 4-Way MAGIC,CAV4080166,York_2018,CAV4080166,3.862323492,13.88,318.32,125.9,0.395513948
ST50PKT0WCSJ,York,2018,66,4,0 kg P,1,33,BT 4-Way MAGIC,CAV4080427,York_2018,CAV4080427,3.900134953,11.72,186.55,77.4,0.414902171
ST50PKT0WCSH,York,2018,66,5,0 kg P,1,33,BT 4-Way MAGIC,CAV4080496,York_2018,CAV4080496,3.582393484,12.2,189.89,71.1,0.3744273
ST50PKT0WCSG,York,2018,66,6,0 kg P,1,33,BT 4-Way MAGIC,CAV4081262,York_2018,CAV4081262,2.729460847,11.63,227.91,89.1,0.390943794
ST50PKT0WCSF,York,2018,66,7,0 kg P,1,33,BT 4-Way MAGIC,CAV4081646,York_2018,CAV4081646,2.772785623,9.3,180.9,66.8,0.369264787
ST50PKT0WCSD,York,2018,66,8,0 kg P,1,33,BT 4-Way MAGIC,CAV4080434,York_2018,CAV4080434,2.969182825,11.65,175.08,54.3,0.310143934
